name,sentiment_score,vader_score,retweet_count
kyliejenner,0,0.936,1870
kyliejenner,0,0.0,116
kyliejenner,0,0.0,146
kyliejenner,0,0.802,22510
kyliejenner,0,0.0,9073
kyliejenner,0,0.0,217
kyliejenner,0,0.7263,352
kyliejenner,0,0.6908,115
kyliejenner,0,0.3182,91
kyliejenner,0,-0.2481,281
kyliejenner,0,0.0,5051
kyliejenner,0,0.0,565
kyliejenner,0,0.6679,1048
kyliejenner,0,0.4898,245
kyliejenner,1,0.9391,864
kyliejenner,0,0.3129,1395
kyliejenner,0,0.7269,155
kyliejenner,0,0.2244,735
kyliejenner,1,0.6696,74
kyliejenner,0,0.3802,887
kyliejenner,0,0.8625,112
kyliejenner,0,0.4574,495
kyliejenner,0,0.9259,115
kyliejenner,0,0.5562,125
kyliejenner,0,0.7164,199
kyliejenner,0,0.6239,245
kyliejenner,0,0.8494,172
kyliejenner,0,0.4003,160
kyliejenner,0,0.0,102
kyliejenner,0,0.0,14771
kyliejenner,0,-0.4019,58
kyliejenner,0,0.0,375
kyliejenner,0,0.9493,179
kyliejenner,0,0.0,151
kyliejenner,0,0.9271,562
kyliejenner,0,0.8016,253
kyliejenner,0,0.9036,216
kyliejenner,1,0.6696,110
kyliejenner,1,0.8687,201
kyliejenner,1,0.7717,125
kyliejenner,0,0.8114,95
kyliejenner,0,0.7345,246
kyliejenner,0,0.0,2263
kyliejenner,0,0.0,361
kyliejenner,0,0.8952,122
kyliejenner,0,0.6331,282
kyliejenner,0,0.4588,1624
kyliejenner,-1,-0.569,150
kendalljenner,0,0.0,1289
kendalljenner,0,0.3612,679
kendalljenner,0,0.4404,678
kendalljenner,1,0.7088,109
kendalljenner,0,0.25,201
kendalljenner,0,0.0,111
kendalljenner,0,0.0,205
kendalljenner,0,0.8271,1275
kendalljenner,0,0.6486,96
kendalljenner,0,0.5994,137
kendalljenner,0,0.4588,1552
kendalljenner,0,0.4767,746
kendalljenner,0,0.0,262
kendalljenner,1,0.8065,763
kendalljenner,0,0.6696,883
kendalljenner,0,-0.4926,3916
kendalljenner,0,0.5319,13
kendalljenner,0,-0.4588,660
kendalljenner,0,0.8957,3315
kendalljenner,1,0.891,489
kendalljenner,0,0.0,120
kendalljenner,0,0.0,1549
kendalljenner,0,0.7964,467
kendalljenner,0,0.0,411
kendalljenner,0,0.0,364
kendalljenner,0,0.0,297
kendalljenner,0,0.4199,427
kendalljenner,0,0.0,4341
kendalljenner,1,0.7184,2100
kendalljenner,-1,-0.8621,437
kendalljenner,0,0.0,283
kendalljenner,0,0.0,4012
kendalljenner,1,0.6369,1555
kendalljenner,0,0.8953,461
kendalljenner,1,0.8555,1043
kendalljenner,0,0.908,211
kendalljenner,0,0.9577,251
kendalljenner,0,0.6239,304
kendalljenner,0,0.0,605
kendalljenner,1,0.6696,3324
kendalljenner,0,0.6369,428
kendalljenner,1,0.9617,357
kendalljenner,0,0.9594,492
kendalljenner,0,0.0,340
kendalljenner,0,0.0,17355
kendalljenner,0,0.6696,439
kendalljenner,1,0.9024,9
kendalljenner,0,0.0,1370
kendalljenner,1,0.7249,548
kendalljenner,0,0.4939,33
kendalljenner,0,0.0,8
kendalljenner,0,0.2003,706
kendalljenner,0,0.7783,274
kendalljenner,0,0.6103,171
kendalljenner,0,0.8832,191
kendalljenner,0,0.0,276
kendalljenner,2,0.9357,161
kendalljenner,1,0.8989,680
kendalljenner,0,0.0,307
kendalljenner,0,0.7901,334
kendalljenner,0,0.5499,951
kendalljenner,0,0.9134,511
kendalljenner,0,-0.5526,196
kendalljenner,1,0.9811,25
kendalljenner,0,0.8321,201
kendalljenner,0,0.7506,109
kendalljenner,0,0.0,397
kendalljenner,0,0.0,233
kendalljenner,0,0.0,264
kendalljenner,0,0.7818,242
kendalljenner,1,0.3612,62
kendalljenner,0,0.2942,157
kendalljenner,0,0.7777,193
kendalljenner,0,0.0,170
kendalljenner,0,0.1982,185
kendalljenner,0,-0.1779,430
kendalljenner,0,0.5673,286
kendalljenner,0,0.1748,1884
kendalljenner,0,0.0,5497
kendalljenner,0,0.0,46
kendalljenner,0,0.4588,1529
kendalljenner,0,0.6124,5374
kendalljenner,0,0.5093,490
kendalljenner,0,0.0,9847
kendalljenner,0,0.5574,2475
kendalljenner,0,0.25,465
kendalljenner,0,0.4329,1586
kendalljenner,0,0.7269,247
kendalljenner,0,0.8074,805
kendalljenner,0,-0.34,609
kendalljenner,0,0.0,37043
kendalljenner,0,0.8172,219
kendalljenner,0,0.802,269
kendalljenner,0,0.0,145
kendalljenner,1,0.69,11050
kendalljenner,0,0.6239,837
kendalljenner,0,-0.4019,374
kendalljenner,0,0.0,252
kendalljenner,0,0.6696,239
kendalljenner,0,-0.126,1946
